region,per_capita,real_incomes,formal_wage,real_pay,child_mortality,disabled,alco,drug,gross_regional_product,living_area,bad_conditions,no_funds,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,newborn,population,poverty_percent,the_poor: children,the_poor: retired,the_poor: employable,reg_prod_total,retail,welfare,crime_rate,crime_growth_rate,serious_crimes,сrime_geography,children,life_expectancy,employment_rate,busy_retired,below_the_subsistence_level,poor_elderly,coverage_of_the_elderly,leisure_attendance
Кировская область,22453.3,97.4,26929.0,92.1,153.9,34726.5,52.1,4.0,226936.8,14.9,2.5,0.9234000000000001,75075.0,93.9,466.4,21.7,14662.8,1374954.4,24.1,40.8,3.4,55.7,561711524.2,146872.0,23.4,1512.8,-5.5,0.167,0.01328,227541.0,16.65,18.15,21.5,3.3,13.25,18246.5,37.05
Костромская область,23997.8,98.2,26784.0,90.1,90.9,20876.7,64.45,9.549999,253627.1,14.5,1.5,0.0,74140.0,160.5,442.2,16.9,7325.1,682643.5,21.4,39.9,6.6,53.5,351160723.0,152587.0,19.2,1200.6,-5.1,0.201,0.00529,123201.0,16.75,16.4,15.05,1.2,8.5,41863.0,45.3
Краснодарский край,34074.5,99.4,32387.0,89.9,569.3,160467.3,20.05,4.05,370278.9,18.1,1.2,0.7852,66145.2,138.0,308.6,5.5,64698.5,5325705.2,20.8,39.3,6.9,53.8,2307147673.9,237486.0,21.2,718.4,-1.4,0.206,0.0274,1196000.0,18.2,17.7,37.5,2.9,17.5,10292.5,40.95
Красноярский край,29723.8,99.8,44275.8,93.6,464.7,77572.2,73.85,16.45,638447.0,16.6,1.8,1.2567,78461.0,182.9,594.3,11.5,36217.4,2889814.4,19.4,35.8,4.8,59.4,4511564750.2,184502.0,20.4,1456.1,-4.6,0.221,0.0285,625564.0,17.75,20.15,16.2,5.15,18.549999999999997,11367.0,34.05
Курганская область,20773.8,95.8,27134.2,89.1,145.2,26502.7,81.05,27.55,222136.8,16.7,3.2,0.1305,94561.0,158.7,868.9,12.3,10504.1,923916.1,29.7,39.4,2.4,58.2,280687637.7,132055.0,23.7,1918.3,-8.5,0.199,0.0111,173919.0,17.45,14.1,19.55,3.55,9.8,8377.0,30.55
Курская область,27167.8,98.6,29162.2,89.8,137.9,52607.7,51.75,4.3999996,327773.9,17.1,0.6,0.7636000000000001,54176.8,162.3,386.7,0.0,11625.1,1160612.3,18.4,34.2,6.5,59.2,706664874.2,180892.0,21.3,1073.7,-3.0,0.173,0.00821,205991.0,16.45,19.5,20.950000000000003,1.95,9.7,11987.5,25.85
Ленинградская область,30088.2,102.3,41325.3,92.2,118.5,41764.0,35.05,9.05,502041.4,17.0,3.0,3.8308,64176.6,103.2,472.7,8.0,14647.7,1745146.8,21.5,19.0,17.0,64.1,2455780657.4,209093.0,16.1,652.5,-4.1,0.277,0.00803,303499.0,18.65,23.4,13.3,0.95,5.35,3137.5,45.4
Липецкая область,29782.0,98.4,30319.5,92.1,115.7,41484.0,72.149994,7.25,396104.6,16.5,0.2,0.6077,66858.9,78.2,482.4,5.1,11952.8,1178001.8,14.7,40.0,0.8,59.3,1488947470.9,209417.0,20.2,855.8,-0.2,0.163,0.00675,219662.0,16.4,18.05,27.7,1.5,1.55,5504.0,24.55
Магаданская область,58826.8,100.9,82467.5,92.8,26.4,2611.5,147.75,8.299999,1002816.3,13.8,0.2,0.0,68714.8,191.5,502.7,0.0,1678.4,162743.8,17.9,30.7,11.5,57.8,371224849.6,214824.0,11.7,1674.6,-8.2,0.233,0.00165,28867.0,18.85,41.65,15.2,0.55,20.0,5790.5,39.5
Москва,68295.0,99.9,81277.7,90.1,934.2,281681.7,21.25,9.1,1206052.2,13.8,0.5,4.096,63887.4,139.1,335.7,0.0,126392.0,11472290.8,13.2,38.4,13.2,48.5,18317137700.6,381303.0,17.0,349.7,-3.7,0.401,0.02968,2214000.0,21.1,26.950000000000003,6.2,0.6,8.8,20987.5,51.45
